home_score,away_score,final_float,first_float,second_float,third_float,fourth_float
0,3,0.034870457878442236,0.08179892455597197,0.05474987779045136,0.03356688935962197,0.03030796806257129
0,4,0.021020042365976863,0.025745478246700343,0.029330291673456087,0.026234316441257944,0.019553527782304056
0,5,0.00684373472380642,0.00016294606485253382,0.0016294606485253381,0.0037477594916082778,0.00684373472380642
0,6,0.013850415512465374,0.01238390092879257,0.02183477269023953,0.021508880560534464,0.012546846993645104
0,7,0.03698875672152518,0.1036336972462115,0.057682906957796966,0.044484275704741734,0.03291510510021183
0,8,0.008147303242626691,0.000977676389115203,0.0030959752321981426,0.004888381945576014,0.008147303242626691
0,9,0.007006680788658954,0.002770083102493075,0.005377220140133616,0.007006680788658954,0.007006680788658954
1,0,0.013524523382760306,0.004562489815870947,0.018249959263483786,0.015316930096138178,0.013524523382760306
1,1,0.006517842594101353,0,0.002444190972788007,0.008310249307479225,0.013035685188202705
1,2,0.00342186736190321,0,0.0014665145836728042,0.000977676389115203,0.00342186736190321
1,3,0.014176307642170441,0.0004888381945576015,0.011732116669382434,0.011895062734234968,0.014176307642170441
1,4,0.026234316441257944,0.00032589212970506764,0.007332572918364022,0.014176307642170441,0.024604855792732607
1,5,0.002607137037640541,0,0.00016294606485253382,0.0017924067133778718,0.0022812449079354733
1,6,0.006680788658953886,0,0.004073651621313346,0.005866058334691217,0.006680788658953886
1,7,0.016783444679810983,0.0016294606485253381,0.014665145836728044,0.019064689587746455,0.015479876160990712
1,8,0.013035685188202705,0,0.00016294606485253382,0.00342186736190321,0.011406224539677367
1,9,0.005214274075281082,0,0.0011406224539677367,0.0035848134267557437,0.005214274075281082
2,0,0.008473195372331759,0.002607137037640541,0.002607137037640541,0.007006680788658954,0.008310249307479225
2,1,0.0032589212970506763,0,0.00032589212970506764,0.0013035685188202706,0.0032589212970506763
2,2,0.0004888381945576015,0,0.00032589212970506764,0.00032589212970506764,0.0017924067133778718
2,3,0.00472543588072348,0.00032589212970506764,0.001955352778230406,0.0029330291673456085,0.00472543588072348
2,4,0.00472543588072348,0.00032589212970506764,0.0021182988430829396,0.0032589212970506763,0.00472543588072348
2,5,0.0037477594916082778,0,0,0.0004888381945576015,0.0030959752321981426
2,6,0.0032589212970506763,0,0.0006517842594101353,0.0014665145836728042,0.002607137037640541
2,7,0.006680788658953886,0.0008147303242626691,0.0032589212970506763,0.005703112269838683,0.006680788658953886
